"food_facts_id","food_name","public_food_key","calcium","carbohydrates","classification","energy","fat_total","iodine","magnesium","potassium","protein","saturated_fat","sodium","total_dietary_fibre","total_sugars","creation_ts","last_modified_ts"
488,"Abalone, black lip, aquacultured, raw","F000002","29","1.6","15202","332","0.8","50.5","69","250","16.2","0.16","390","0","0.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
489,"Abalone, black lip, wild, raw","F000003","21","1.6","15202","380","0.6","80","54","285","19.4","0.14","268","0","0.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
490,"Abalone, brown lip, wild, raw","F000004","20","1.6","15202","352","0.6","110","46","210","17.8","0.15","280","0","0.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
491,"Abalone, green lip, aquacultured, raw","F000005","58","1.6","15202","345","0.8","201.7","65","260","17.1","0.17","792","0","0.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
492,"Abalone, green lip, wild, raw","F000006","19","1.6","15202","363","0.5","190","45","252","18.7","0.13","255","0","0.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
493,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked","F000050","1","0.3","29301","302","0","0","1","1","0","0","2","0","0.3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
494,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)","F000051","1","0.1","29301","892","0","0","0","1","0","0","3","0","0.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
495,"Almond beverage, added sugar & Ca","F009827","68","3","20106","115","1.4","1.1","4","16","0.5","0.12","43","0.6","2.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
496,"Almond beverage, added sugar & vitamins B1, B2 & B12 & Ca","F009828","120","3","20106","115","1.4","1.1","8","19","0.5","0.12","33","0.6","2.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
497,"Almond beverage, added sugar, unfortified","F009825","3","3","20106","115","1.4","1.1","5","31","0.5","0.12","53","0.6","2.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
498,"Almond beverage, no added sugar, added Ca","F009826","66","0","20106","65","1.4","1.1","8","19","0.5","0.12","43","0.5","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
499,"Almond beverage, no added sugar, unfortified","F009824","7","0","20106","65","1.4","1.1","6","19","0.5","0.12","40","0.5","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
500,"Amaranth, grain, whole, uncooked","F000061","147","55.6","12101","1527","6.4","1","237","508","15.2","1.62","2","11.1","3.8","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
501,"Anchovy, canned in oil, drained","F000074","167","0","15401","762","8.9","13","69","180","25.4","1.97","5480","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
502,"Apple, bonza, unpeeled, raw","F000086","6","12","16101","244","0.3","0","5","88","0.3","0","0","3.2","11.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
503,"Apple, dried","F000089","22","60.4","16802","1078","0","2.4","24","640","1.2","0","260","8.5","59.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
504,"Apple, fuji, unpeeled, raw","F000091","6","12.5","16101","245","0.3","0","4","91","0.3","0","2","2.4","12.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
505,"Apple, golden delicious, unpeeled, raw","F000092","4","10.8","16101","202","0","0","4","90","0.3","0","2","2.5","10.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
506,"Apple, granny-smith, unpeeled, raw","F000095","5","10.8","16101","202","0","0","4","108","0.3","0","1","2.3","10.3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
507,"Apple, green skin, unpeeled, raw","F000098","4","10.8","14676","202","0","0","4","99","0.3","0","2","2.4","10.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
508,"Apple, jonathon, unpeeled, raw","F000099","4","12.3","16101","226","0","0","4","110","0.3","0","1","2.3","11.8","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
509,"Apple, pink lady, unpeeled, raw","F000105","4","12.8","16101","242","0","0","5","120","0.2","0","1","3","12.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
510,"Apple, red delicious, unpeeled, raw","F000107","5","13.8","16101","248","0","0","4","102","0.3","0","1","2.3","13","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
511,"Apple, red skin, unpeeled, raw","F000110","5","12.7","16101","240","0","0","5","113","0.2","0","1","2.7","12","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
512,"Apple, royal gala, unpeeled, raw","F000111","5","12.1","16101","222","0","0","6","110","0.4","0","1","2.1","11.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
513,"Apricot, canned in pear juice","F000122","12","9.6","16404","192","0","0.4","10","189","0.8","0","4","1.8","8.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
514,"Apricot, canned in pear juice, drained","F000123","15","8.9","16404","196","0","0.8","10","140","1","0","3","3.1","7.8","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
515,"Apricot, canned in pear juice, juice only","F000124","7","10.5","16404","187","0","0","9","260","0.5","0","5","0","8.7","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
516,"Apricot, dried","F000130","67","44.4","16802","886","0.2","2.2","57","1510","4.3","0","37","8.4","40.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
517,"Apricot, raw","F000134","13","7.7","16403","167","0.4","0","12","290","0.2","0","0","1.5","7.6","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
518,"Artichoke heart, canned in brine, drained","F000141","33","1.2","24402","104","0.3","0","22","180","1.9","0","280","4.7","1.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
519,"Artichoke, globe, boiled, drained","F000142","34","1.5","24402","170","0.2","0","20","381","3.3","0","7","9.5","1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
520,"Artichoke, globe, raw","F000144","30","1.3","24402","145","0.2","0","18","360","2.8","0","6","8.1","0.9","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
521,"Artichoke, jerusalem, peeled, boiled, drained","F000145","20","11.3","24302","263","0.1","0","11","503","2.2","0","5","3.2","2.9","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
522,"Artichoke, jerusalem, peeled, raw","F000146","20","10.5","24302","245","0.1","0","11","520","2.1","0","5","3","2.7","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
523,"Asparagus, canned in brine, drained","F000149","12","1.5","24402","101","0.1","0","7","120","1.9","0","240","3.9","1.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
524,"Asparagus, green, boiled, drained","F000151","12","1.6","24402","104","0.1","0","17","339","2.9","0","2","2.5","1.6","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
525,"Asparagus, green, raw","F000155","11","1.4","24402","88","0.1","0","15","320","2.5","0","2","2.2","1.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
526,"Avocado, raw","F000162","10","0.2","24705","579","13.2","0","26","450","1.6","1.93","7","7.5","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
527,"Bacon, middle rasher, separable fat, fried, no added fat","F000223","4","0.4","18601","3204","81.1","4.9","11","190","11.6","32.07","1000","0","0.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
528,"Bacon, middle rasher, separable lean, fried, no added fat","F000224","10","0.8","18601","858","8.5","5.1","29","440","31.2","3.14","2200","0","0.8","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
529,"Bacon, middle rasher, untrimmed, raw","F000228","4","0.2","18601","1310","28.2","0","15","277","15.4","10.95","1274","0","0.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
530,"Bacon, shortcut, as purchased without rind, fried, no added fat","F000231","8","0.9","18601","1046","13.9","5.2","30","450","30.4","5.25","2000","0","0.9","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
531,"Baked beans, canned in tomato sauce","F000243","39","10","25201","334","0.3","1.5","27","240","4.8","0.04","378","4.8","2.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
532,"Baked beans, canned in tomato sauce, reduced salt","F000244","39","11.3","25201","354","0.3","1.5","27","240","4.8","0.04","294","4.8","3.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
