publicFoodKey,classification,foodName,energy,protein,fatTotal,totalDietaryFibre,totalSugars,carbohydrates,calcium,iodine,magnesium,potassium,sodium,saturatedFat
F000002,15202,"Abalone, black lip, aquacultured, raw",332,16.2,0.8,0.0,0.4,1.6,29,50.5,69,250,390,0.16
F000003,15202,"Abalone, black lip, wild, raw",380,19.4,0.6,0.0,0.4,1.6,21,80.0,54,285,268,0.14
F000004,15202,"Abalone, brown lip, wild, raw",352,17.8,0.6,0.0,0.4,1.6,20,110.0,46,210,280,0.15
F000005,15202,"Abalone, green lip, aquacultured, raw",345,17.1,0.8,0.0,0.4,1.6,58,201.7,65,260,792,0.17
F000006,15202,"Abalone, green lip, wild, raw",363,18.7,0.5,0.0,0.4,1.6,19,190.0,45,252,255,0.13
F000050,29301,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",302,0.0,0.0,0.0,0.3,0.3,1,0.0,1,1,2,0.00
F000051,29301,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",892,0.0,0.0,0.0,0.1,0.1,1,0.0,0,1,3,0.00
F009827,20106,"Almond beverage, added sugar & Ca",115,0.5,1.4,0.6,2.2,3.0,68,1.1,4,16,43,0.12
F009828,20106,"Almond beverage, added sugar & vitamins B1, B2 & B12 & Ca",115,0.5,1.4,0.6,2.2,3.0,120,1.1,8,19,33,0.12
F009825,20106,"Almond beverage, added sugar, unfortified",115,0.5,1.4,0.6,2.2,3.0,3,1.1,5,31,53,0.12
F009826,20106,"Almond beverage, no added sugar, added Ca",65,0.5,1.4,0.5,0.0,0.0,66,1.1,8,19,43,0.12
F009824,20106,"Almond beverage, no added sugar, unfortified",65,0.5,1.4,0.5,0.0,0.0,7,1.1,6,19,40,0.12
F000061,12101,"Amaranth, grain, whole, uncooked",1527,15.2,6.4,11.1,3.8,55.6,147,1.0,237,508,2,1.62
F000074,15401,"Anchovy, canned in oil, drained",762,25.4,8.9,0.0,0.0,0.0,167,13.0,69,180,5480,1.97
F000086,16101,"Apple, bonza, unpeeled, raw",244,0.3,0.3,3.2,11.5,12.0,6,0.0,5,88,0,0.00
F000089,16802,"Apple, dried",1078,1.2,0.0,8.5,59.4,60.4,22,2.4,24,640,260,0.00
F000091,16101,"Apple, fuji, unpeeled, raw",245,0.3,0.3,2.4,12.1,12.5,6,0.0,4,91,2,0.00
F000092,16101,"Apple, golden delicious, unpeeled, raw",202,0.3,0.0,2.5,10.5,10.8,4,0.0,4,90,2,0.00
F000095,16101,"Apple, granny-smith, unpeeled, raw",202,0.3,0.0,2.3,10.3,10.8,5,0.0,4,108,1,0.00
F000098,14676,"Apple, green skin, unpeeled, raw",202,0.3,0.0,2.4,10.4,10.8,4,0.0,4,99,2,0.00
F000099,16101,"Apple, jonathon, unpeeled, raw",226,0.3,0.0,2.3,11.8,12.3,4,0.0,4,110,1,0.00
F000105,16101,"Apple, pink lady, unpeeled, raw",242,0.2,0.0,3.0,12.2,12.8,4,0.0,5,120,1,0.00
F000107,16101,"Apple, red delicious, unpeeled, raw",248,0.3,0.0,2.3,13.0,13.8,5,0.0,4,102,1,0.00
F000110,16101,"Apple, red skin, unpeeled, raw",240,0.2,0.0,2.7,12.0,12.7,5,0.0,5,113,1,0.00
F000111,16101,"Apple, royal gala, unpeeled, raw",222,0.4,0.0,2.1,11.1,12.1,5,0.0,6,110,1,0.00
F000122,16404,"Apricot, canned in pear juice",192,0.8,0.0,1.8,8.2,9.6,12,0.4,10,189,4,0.00
F000123,16404,"Apricot, canned in pear juice, drained",196,1.0,0.0,3.1,7.8,8.9,15,0.8,10,140,3,0.00
F000124,16404,"Apricot, canned in pear juice, juice only",187,0.5,0.0,0.0,8.7,10.5,7,0.0,9,260,5,0.00
F000130,16802,"Apricot, dried",886,4.3,0.2,8.4,40.5,44.4,67,2.2,57,1510,37,0.00
